,text,misogynous,misogyny_category,occupation
50,"@StellaMcCartney You really are the pits, so out of touch. Just shut up preaching to us normal people about climate change and think about what you deem great. Most people don’t own a tux FFS!!!!!!!!!",1,dominance,artist
51,@StellaMcCartney stella ye whore,1,discredit,artist
52,"Stella McCartney might be a total hypocrite &amp; fame whore,but sometimes she makes nice clothes. @StellaMcCartney #PFW http://t.co/NYNwKK6zY6",1,discredit,artist
53,@StellaMcCartney I hope it's frustrating for you to be stupid,1,discredit,artist
54,"@StellaMcCartney Stupid entitled woman. Daftest comments ever, almost",1,discredit,artist
55,@StellaMcCartney Creepy-stupid...,1,discredit,artist
56,Stella McCartney you stupid bitch why would you not make the adidas collab up to 11 I am sick rn,1,discredit,artist
57,Seriously. Show me something Stella McCartney has done that is at least pleasant to look at and I'll shut up. Maybe.,1,stereotype,artist
58,"Stella McCartney, shut up about boring clothes and sing Hey Jude already!",1,dominance,artist
59,Stella McCartney: SHUT UP AND TAKE MY MONEY!,1,sexual_harassment,artist
60,Seen and laughed at. Does that Stella McCartney have eyes? Fuck me. Awful,1,discredit,artist
61,"What in the actual Hell is that Stella McCartney garbage on the arsenal site? Are you seriously telling me they were designed by a real life, famous fashion designer? Fuck me, Stella's been stealing a career if that's what it takes to be a designer, looks like a 4yo did them.",1,stereotype,artist
62,"Is Stella McCartney right - should we stop washing our clothes? No, dirty skank.  https://t.co/UnUF7SoxH3",1,discredit,artist
63,"Officially exposing Stella McCartney for being an absolute cunt, today I tried on a pair of retail price €800 shoes of hers and by the time I got from the seat to the mirror there were visible creases and cracks in the leather, FUCK OUTTA HERE STELLA",1,discredit,artist
64,Uhh. Stella McCartney designed the 2012 Olympic Kit? I fucking hate that cunt. Utter scum.,1,discredit,artist
65,Why the fuck is the GB Olympic Kit the wrong fucking colour!? Where's the red!? Stella McCartney you are a cunt!,1,discredit,artist
66,I just wanna say Stella McCartney can eat a dick.,1,sexual_harassment,artist
67,of course stella mccartney designed that ugly ass dress that woman is a war criminal,1,discredit,artist
68,"I hate your type,Stella McCartney ass b*tch",1,discredit,artist
69,Stella McCartney is a rotter. She looks like a burns victim.,1,discredit,artist
70,"@parodymane @ozskier Dude, I hate Stella McCartney close on principle. We do not suffer beetle, or beetle adjacent shit in this house.",1,discredit,artist
71,Omfg why are we letting Stella McCartney design shit still please,1,stereotype,artist
72,I think stella mcCartney should be tried for crimes against humanity this shit is ugly af,1,discredit,artist
73,"@DisneyParis_EN Ugly and stupid.

Stella McCartney.  She can't do anything.  Just using the name of her father 😂",1,discredit,artist
74,"@annieleibovitz @voguemagazine This is trash, learn how to fucking photograph black people correctly. Overrated as hell.",1,dominance,artist
75,@annieleibovitz @voguemagazine Why are you so fucking bad at photographing Black people???,1,dominance,artist
76,"@annieleibovitz @voguemagazine You are a disgrace when it comes to photographing the natural beauty of melanin infused human beings, AKA black people! Give It Up! I am a experienced photographer and even I know that illumination is key to grasping what is needed. Your craft sucks!",1,dominance,artist
77,@annieleibovitz @voguemagazine You suck!,1,discredit,artist
78,"@annieleibovitz @voguemagazine This is terrible
Im so sick of you being a “great” photographer who sucks at taking pictures of people who already provide u great color",1,stereotype,artist
79,@annieleibovitz @voguemagazine You suck at photographing anything darker than a popsicle stick,1,stereotype,artist
80,@KoiosRonin @MazvitaJames Annie Leibovitz been a sick bitch 🙃,1,discredit,artist
81,"Annie Leibovitz, bitch you ain’t shit! Ur photographs are HORRIBLE, just like how you TRIED to depict Ketanji Brown Jackson  and Lincoln, like he saved black people or some shit! Try that bullshit with ur people, you just a racist ass white women🤬",1,discredit,artist
82,"Annie Leibovitz is a goddamn bitch irl, she came to my work to do a photo shoot and she’s a horrible vile woman",1,discredit,artist
83,Annie Leibovitz SUCKS ASS sorry!!!! Been true!!!!! Bitch,1,discredit,artist
84,annie leibovitz retire bitch,1,discredit,artist
85,"@donnydont Shut up, Annie Leibovitz.",1,dominance,artist
86,this thread reminds me of how racist and basic annie leibovitz is. fuck her and her lil pictures,1,discredit,artist
87,"I know an Annie Leibovitz shot when I see it.  And as world renowned as she is, she is forever tone deaf and has no fucking tact.",1,stereotype,artist
88,No but Annie Leibovitz she nuh have no fucking shame,1,sexual_harassment,artist
89,Annie Leibovitz is fucking terrible and has been protected by the bullshit leaders of Vogue for YEARS,1,discredit,artist
90,Annie Leibovitz is a fucking shitty photographer,1,discredit,artist
91,Annie Leibovitz need her ass beat bro this is a photo of the Lincoln Monument. https://t.co/Ez7xlOj5x5,1,discredit,artist
92,Annie Leibovitz needs her ass whooped for photographing this,1,discredit,artist
93,when will people realize that annie leibovitz is ass,1,discredit,artist
94,Annie Leibovitz is ass checks,1,discredit,artist
95,god annie leibovitz sucks so hard lol,1,discredit,artist
96,annie leibovitz sucks she is rude and outdated her work suckssssss,1,discredit,artist
97,y’all already to talk about how annie leibovitz sucks ass or not?,1,discredit,artist
98,"not really a hot take, but annie leibovitz sucks",1,discredit,artist
99,annie leibovitz sucks so bad in every aspect https://t.co/1GDQW3J58v,1,discredit,artist
100,Annie Leibovitz is a shit photographer. Objectively,1,discredit,artist
101,no because i'll continue running my mouth and talking my shit about miss annie leibovitz cause this hag is taking up way too much space when there are plenty of talented black photographers out there,1,discredit,artist
102,Omg had no idea Annie Leibovitz was this ugly and looked like a man...no wonder she's behind the camera...,1,stereotype,artist
103,#kathrynbigelow can fucking rot https://t.co/1h06xmsAnU,1,discredit,artist
104,How many blow-jobs has #KathrynBigelow done for the #CIA and the #Army? She has devoted her life to power structure cock-sucking.,1,discredit,artist
105,#KathrynBigelow must have sucked some serious cock to get so many awards for #TheHurtLocker. What a complete bag of wank...with pubes in it.,1,discredit,artist
106,"Kathryn Bigelow is a stupid, racist bitch.",1,discredit,artist
107,Kathryn Bigelow needs hung drawn and quartered the propaganda driving ethnic cleansing supporting invading anywhere with oil whore,1,discredit,artist
108,Fuck Dana Schutz also fuck Cindy Sherman and Marina Abramovic...I can't stand a white exploitive art bitch,1,discredit,artist
109,"Ha, Cindy Sherman is a label whore.",1,discredit,artist
110,I hate when I’m in an art class and they start talking about Cindy Sherman racist white ass. BOOOOOO,1,discredit,artist
111,@beejkay cindy sherman sucks,1,discredit,artist
112,"The entire career of Barbara Kruger is based on found images (images from other artists/designers/illustrators), grow the fuck up if you are an artist and still sending DMCAs.

https://t.co/DUVUrwha8s",1,dominance,artist
113,barbara kruger sucks actually and the cherry video alone is worth more than the sum total of her artistic output,1,discredit,artist
114,"@conniepreston ooh aah Barbara Kruger!! I be on skype if you are home from taking pics of your fat, ugly self? hahahahahahaha",1,stereotype,artist
115,"Jenny Saville, contemporary British artist known for low standards of clarity, thoughtfulness and empathy, this is a toxic bitch.",1,discredit,artist
116,Jenny Saville is one fucked up bitch.,1,discredit,artist
117,JENNY SAVILLE IS A MAJOR BITCH,1,discredit,artist
118,i fucking hate shirin neshat you all should hate her too shes probably the only artist i hate this much i hate shirin neshat i hate shirin neshat i hate shirin neshat i hate shirin neshat i hate shirin neshat i hate shirin neshat i hate shirin neshat i hate shirin neshat,1,discredit,artist
119,shirin neshat you ugly cunt I hope you never see heaven,1,discredit,artist
120,Jil Sander needs to go to jail.. pricing her tote bags $$$ bitch,1,discredit,artist
121,Jil Sander can suck my dick.,1,sexual_harassment,artist
122,jil sander as a human being sucks,1,stereotype,artist
123,@Fool_M jil sander sucks.,1,discredit,artist
124,Jil Sander you fucking ugly troll,1,discredit,artist
125,"📢 JULIE MEHRETU (@JulieMehretu) IS A GENOCIDE AND RAPE APOLOGIST. 

📢 JULIE MEHRETU (@JulieMehretu) IS A GENOCIDE AND RAPE APOLOGIST. 

📢 JULIE MEHRETU (@JulieMehretu) IS A GENOCIDE AND RAPE APOLOGIST. 

#TigrayGenocide 
#TigrayFamine 
#TigrayCantWait",1,derailing,artist
126,@JulieMehretu hysterical!!!,1,stereotype,artist
127,"Go and fuck yourself #yayoikusama #fender #cat @ Mexico City, Mexico https://t.co/vnPdVEKTaQ",1,sexual_harassment,artist
128,That crazy ass bitch #YayoiKusama #MarcJacobs #LouisVuitton http://t.co/MGJlfSkJ,1,discredit,artist
129,"@iAFEEQEVANS Not to forget, Yayoi Kusama too haha shes cliche and has no identity at all but claims herself a fashion consultant? Lmao bitch eat my ass",1,discredit,artist
130,"Not here for the yayoi kusama &amp; louis vuitton collaboration, that old crazy lady is antiblack …&amp; she real live be banning black journalist who are inspired by her work and want to interview her from her studio soo fuck her",1,discredit,artist
131,not yayoi kusama being racist as fuck omg,1,discredit,artist
132,fuck yayoi kusama she should just die fr,1,discredit,artist
133,Yayoi Kusama is a racist who described sex with black men as animalistic 🙃,1,stereotype,artist
134,Yayoi Kusama or as i would call her racist old cunt,1,discredit,artist
135,Just a reminder that that talentless polka dot painting hoe Yayoi Kusama is racist and antiblack af 🙃,1,discredit,artist
136,yayoi kusama i hope your old ass crokes,1,discredit,artist
137,who cares about yayoi kusama and her polka dotting racist ass,1,discredit,artist
138,Yayoi Kusama SUCKS there I said it,1,discredit,artist
139,"why do people still like yayoi kusama... in addition to her art being UGLY, BAD, and TACKY, she is also a known RACIST who referred to Black people as animals. did people forget or???",1,discredit,artist
140,"AOC's 'Tax the Rich' dress designer Aurora James owes debt in multiple states https://t.co/IBcUiKv9Og via @nypost 
Tax that bitch - and let the illegal aliens come live with her at her house and the ex co-founder of blk lies matter ( she has the houses to spare)",1,discredit,artist
141,@AuroraJames. Pay your fucking bills loser!!,1,dominance,artist
142,@queeralamode Fucking aurora James,1,discredit,artist
143,"@FastCoCreative @AuroraJames Visionary? Looks like something a child who was recently suffered brain damage might design.
Hope she has an Onlyfans account or a Sugardaddy to take care of her because she sucks as a designer.",1,stereotype,artist
144,@AuroraJames Ahahahahah stupid B,1,discredit,artist
222,@AOC I wonder if you like it in the ass??,1,sexual_harassment,politician
223,@coffee_anytime i bet she gives sum good ass head @AOC,1,sexual_harassment,politician
224,@chipfranklin @AOC Only my dick stands for AOC,1,dominance,politician
225,@AOC whos dick did she suck while bartending to get allowed into the house ?,1,discredit,politician
226,"@AOC All I see is “blah blah blah, I’m a dirty whore”",1,discredit,politician
230,@stillunwoke17 @AOC AOC has a fat booty! LOL,1,stereotype,politician
231,"@AOC Seriously AOC, put down your phone, whip them fat titties out, and go make me a drink.",1,sexual_harassment,politician
232,@AOC Why are you a fat ugly war pig?,1,discredit,politician
234,@AOC Calm down you hysterical big glutey latina,1,stereotype,politician
235,That ugly bitch @AOC  sure is quite right now https://t.co/BthkTb2GtM,1,discredit,politician
238,"@AOC @laurenboebert You are a hideous skank, a liar and a wretched Marxist Criminal who should be taken out behind the woodshed for a whipping.",1,discredit,politician
239,@AOC @laurenboebert This is what happens when you elect and uneducated skank into office. Let’s hope the recount silences her and kicks her back under the rock she lives under.,1,discredit,politician
240,@elonmusk @elonmusk Bring back President Donald Trump.  And send that skank @AOC  back to the strip bar.,1,discredit,politician
241,@AOC is such an annoying cunt,1,discredit,politician
242,"@mayemusk Look out @elonmusk... @AOC is a hoe, great booty but a good digger. All service industry women prostitute... Lol, the hot ones. https://t.co/6HOeJj43mD",1,discredit,politician
243,@AOC @GOP Who cares what you think. Get back to the bar hoe,1,dominance,politician
244,@AOC Pour me a drink hoe,1,sexual_harassment,politician
245,"@vegas702Sin @Tye2157 @AOC What are you talking about? She will be the new alcoholic, less like Nancy Pelosi, except without the gavel ever! Nothing but whores and prostitutes dancing around a bar, and I bet she doesn’t even know how to count back change.",1,discredit,politician
246,@SIfill_ @AOC Abortion is for whores,1,discredit,politician
247,@dannydeurbina @bennyjohnson @AOC She gobbles ginger dick heh heh mmmmmmmm,1,discredit,politician
248,"@AOC You would beg for my dick and I wouldn’t fuck you with a 39 1/2 foot pole (the grinch, remember?) 😁😁😁😁",1,sexual_harassment,politician
249,"@AOC Does that pussy taste like pineapples, or empanada's?",1,discredit,politician
250,@AOC Alexandria could grind her pussy on my face,1,sexual_harassment,politician
251,@AOC @GOP Your pussy prob smells like fish tho,1,discredit,politician
252,"@AOC You definitely have a stinky, hairy liberal pussy",1,discredit,politician
253,@JessieJaneDuff @laurenboebert @AOC I'd love to bury my cock in your ass,1,sexual_harassment,politician
254,@AOC Dont you have a bar to tend and a cock to suck?,1,sexual_harassment,politician
255,@catturd2 @AOC The hardest work she has done is gobbling cock,1,discredit,politician
256,@dannydeurbina @bennyjohnson @AOC He will do anything for that fat juicy Latina booty.,1,stereotype,politician
258,@AOC @GOP shut your hysterical mouth you stunned numpty.,1,stereotype,politician
260,@AOC You’re a joke! Go back to bar tending ! No one wants to listen to your ugly ass !,1,discredit,politician
262,@AOC @GOP AOC reminds me of the little prick tease in high school with all the stupid unicorn ideas. Then she get a good dicking and turns into a trampy slut. She just hasn't found that dick yet.,1,discredit,politician
263,@HillaryClinton you are a dirty CUNT!,1,discredit,politician
264,@HillaryClinton Go suck a big fat one. You dirty cunt! You should be in jail,1,sexual_harassment,politician
265,@HillaryClinton Hillary is the nastiest skank I’ve ever seen.,1,discredit,politician
267,"@HillaryClinton If we strap a nuke to your fat ass, can we send it off to our enemies on your behalf?

Asking for several million friends. 😉",1,sexual_harassment,politician
268,@HillaryClinton Eat a bowl of dicks😂🇺🇸❤️vote red,1,sexual_harassment,politician
269,@HillaryClinton Then why do you let chick's with dicks compete in women's sports?,1,discredit,politician
270,"@HillaryClinton Bill looks good in this pic, I can see why Monica was sucking his dick.",1,sexual_harassment,politician
271,@AlmeidaDebra @HillaryClinton I always figured Hillary had a dick,1,discredit,politician
272,@HillaryClinton You women just wanna be whores,1,discredit,politician
273,"@HillaryClinton Women want to whore around, committing Fornication and when there's a child involved, out of convenience you murder the child.",1,sexual_harassment,politician
274,"Ugly old bitch, STFU and go away!!! Catholic Church  does not = Taliban! Catholic bishop blasts 'evil woman' ⁦@HillaryClinton⁩ for comparing pro-lifers to Taliban, Russian war crimes

https://t.co/qMedh5aRK5",1,dominance,politician
276,@KimKardashian 🌞📢IamGOD 🌞📢WomenSuck 🌞📢WomenAreTheInferiorGender @HillaryClinton @SenWarren 🌞📢OldWomenAreUGLYe's 🌞📢BlackMenAreAlwaysTheWorst👎,1,stereotype,politician
277,"@lavern_spicer @HillaryClinton @HillaryClinton is a skank! She’s an embarrassment to respectful, admirable women.",1,discredit,politician
278,#instagram removed my comment in 2 minutes. I called @HillaryClinton  a whore. It went against their guidelines and shit. 😇,1,discredit,politician
279,"@HillaryClinton @KarenBassLA Two political whores,",1,discredit,politician
280,@HillaryClinton Go back to your home on whore island,1,discredit,politician
281,"@Kat4Obama @HillaryClinton To be even more clear, women who vote for this actually just want to flex their right to be a whore and a murderer.",1,discredit,politician
282,@HillaryClinton eat a bag of dicks. https://t.co/UBBdWWNUpU,1,discredit,politician
283,"@IranIntl_En @HillaryClinton Hey,go take care of your  husband sweet dick wily.",1,dominance,politician
287,@HillaryClinton Your pussy smells like sulfur,1,sexual_harassment,politician
288,"@HillaryClinton then where is your burkah and why are you still running your suck?

https://t.co/IQLvrc34uz",1,discredit,politician
289,"@HillaryClinton HEY, YOU FAT UGLY COW, WHY DON'T YOU SHUT YOUR STUPID MOUTH ABOUT HOW BAD IT IS THAT THE USA CAN'T FORCE MURDERING BABIES, ON EVERY STATE. NEVER HAS TGERE BEEN SUCH A JEZABEL IN MODERN TIMES. YOU!!!",1,dominance,politician
290,"Malala &amp; Greta are an anti-Indian combo of a Jihaadi witch and a Leftist bitch, only thing we have to find out the % of both ⁦@Malala⁩ ⁦@GretaThunberg⁩ https://t.co/PPnkcLKQtR",1,discredit,politician
294,"@avibebert @GretaThunberg Humm... they must have given her lots of money to shut her mouth with food and money...
😅😂🤣",1,stereotype,politician
296,"@GretaThunberg Can someone put a baby in this chick so she will shut up, please.",1,dominance,politician
298,@GretaThunberg @auroramalet Your a fuck wit,1,discredit,politician
299,Fuck you Greta! @GretaThunberg,1,discredit,politician
301,@GretaThunberg You beautiful cunt 😘😂,1,discredit,politician
302,"@GretaThunberg You're in Scotland now, and cunt is a compliment here! Problem solved!",1,discredit,politician
303,Literally every single bitch who was acting like a cunt just needed a good dicking. @GretaThunberg is 18 now in case anybody wants to solve the #ClimateCrisis,1,sexual_harassment,politician
304,"@GretaThunberg your climate-controlled cunt smells so fucking bad, you should be arrested by the criminals that call themselves the UN.",1,discredit,politician
307,"@GretaThunberg Watch the dick to him, if you like being a whore so much",1,discredit,politician
309,@GretaThunberg Attention seeking media whore,1,discredit,politician
310,@theJeremyVine @GretaThunberg A see Greta has discovered the dick at last,1,discredit,politician
311,@theJeremyVine @GretaThunberg Was gunna say she needs to chill out and get some dick. But looks like she's got the biggest one on the planet #whingingcyclingwankerofthehighestorder,1,discredit,politician
313,"@GretaThunberg Hey girl, where the onlyfans at? show us some real climate change and put that ass on film. Dont be a coward",1,sexual_harassment,politician
315,@GretaThunberg @auroramalet Go sue China and India you fat cow,1,discredit,politician
316,"@backtolife_2023 Fat @GretaThunberg, is it the carbs?",1,stereotype,politician
317,@levinepmc @RealAndyLeeShow @GretaThunberg She now is an ugly fat women. Karen??,1,stereotype,politician
318,@GretaThunberg go an eat a cock.. https://t.co/4cs0A05Bwq,1,sexual_harassment,politician
319,@GretaThunberg Who wrote this nugget of wisdom for you? Go and get some cock girl.,1,stereotype,politician
320,@Reuters @GretaThunberg She desperately needs cock,1,sexual_harassment,politician
321,@amit_u_n @GretaThunberg Suck a cock,1,sexual_harassment,politician
322,@GretaThunberg pull down them pants and let me see dat ass 😜😜 U GONNA GET BLACKED BITCH,1,sexual_harassment,politician
324,@GretaThunberg Now that you’re of age I think you just need a bbc to fuck the crazy out of you.,1,sexual_harassment,politician
326,@GretaThunberg Who is this SLUT?? Farmers hv no idea about this SLUT,1,discredit,politician
327,@Saihya_ @Fawziakoofi77 @Malala Dont call woman...call Bitch,1,discredit,politician
328,Filthy @Malala where are you now? You are one of the bitch who supports Islamic terror in India and keep silent elsewhere. https://t.co/t80kki7U6W,1,discredit,politician
329,@Malala Please Shut Up. We don't need your opinion. Ms. Liberal,1,dominance,politician
330,"@Malala @ImranKhanPTI Keep your ugly mouth shut , it was a pre planned  orchestrated attack , we don’t need you to send wishes , the nation will@never forgive those behind this.",1,dominance,politician
331,@Malala Shut the crap up😏,1,dominance,politician
334,@Malala is a goat fucking skank.,1,discredit,politician
335,"@ursfriend_sk @MeghUpdates @Malala @Malala is hoe to Talib@n. Rumours are there that last night she was in missionary position with talib@ni.
Is it true @Malala ?",1,discredit,politician
336,This bitch @Malala sucking white dicks in a white country 👌🤣😂 why would she care about afganistani muslim,1,discredit,politician
337,@Bharatmporwal @MaddyWithKhan @Malala Take my dick and suck it hard in your mouth less some part of Kashmir miss the softness of your lips.,1,sexual_harassment,politician
338,@MalikAsser @Malala One cock one pussy in one night together can change the world too!,1,sexual_harassment,politician
339,Hi @Malala. Please get that cock out of your mouth and speak up. https://t.co/CwKfogIROL,1,dominance,politician
341,@_AzmatRahi @smkaty @ShahidK68490419 @Malala Nigga stop showering in cow shit,1,discredit,politician
342,@MarvelStudios @Malala Malala the filthy 2 face bitch,1,discredit,politician
343,"@Fereeha @Malala 3 words for you too "" Same to you"" and two words for her ""Little Slut""",1,discredit,politician
346,@junaidsalim_ @Malala nasty slut,1,discredit,politician
347,"Pig breed, crooked-mouth Maal Lala, father of shameless bitch, some people fondly keep dogs.  But the Jews have kept you only for barking.  Tell me when your crooked daughter's contract is about to expire
#LetThemFly
@ZiauddinY 
@Malala
@MalalaFund",1,discredit,politician
348,@UN_News_Centre @Malala What the rubbish is this malala girl. A bitch of West who speaks against her religion and muslim countries. Malala is not the representative of Afghan women. Malala live in West and she doesn't know about current conditions of Afghan women. I think Malala should stop barking.,1,discredit,politician
349,@SkyCricket @Malala Swollen face ugly bit_h,1,discredit,politician
350,@ZiauddinY @Malala I have never seen such an ugly and filthy woman like Malala who is supporting sex in the wrong way except the lawful and permissible method of marriage. https://t.co/KjTSWyWKN9,1,discredit,politician
352,@Malala @javerias fuck your pussy @Malala,1,sexual_harassment,politician
353,@Malala a pakistani bitch who left her country and now barking #LoL,1,discredit,politician
354,@BBhuttoZardari @Malala Fuck you🖕🖕🖕🖕,1,discredit,politician
355,@Sweet47867235 @bramprasad17 @Malala Then fuck her hard she is frequently available in your country,1,sexual_harassment,politician
357,@Malala You would still look ugly my dear no matter what you wear.,1,stereotype,politician
358,@Malala world's most ugly girl  malala,1,stereotype,politician
360,@Malala would you suck my duck,1,sexual_harassment,politician
361,@KOABDULLAH200 @tejnemanwar @Malala You mean Malala's Halal-a Pussy? Hahaha!,1,discredit,politician
364,@Malala Don’t try to move your dirty ass 🖕🏻🖕🏻 you are fucking Noble Prize winner for what ??? For advocating children No becuase you are paid for doing all this so 🖕🏻🖕🏻🖕🏻,1,discredit,politician
365,@Malala fok u ass hole 🖕🖕🖕🖕,1,discredit,politician
366,@VeeKativhu @Malala @Malala your face looks like blasted ASS bitch,1,discredit,politician
368,@MichelleObama @Malala @girlsalliance Malala can suck my dick,1,sexual_harassment,politician
369,@Malala Your heart with dollars and white and black dicks,1,discredit,politician
370,@Malala Malala your whore,1,discredit,politician
371,Does anyone know what the German word for CUNT is? #Merkel #nazisareback,1,discredit,politician
372,As per my previous tweet: Who has the biggest #Cunt #Merkel or #Cameron  https://t.co/FowecQLKlm,1,discredit,politician
373,"she is an awful cunt, her face alone makes me want out of EU #Merkel #EU #Germans #vote #Out https://t.co/WUvVOgiUFv",1,discredit,politician
374,"#Merkel start shaking that fat ass u got: tomorrow #pizza , #yoghurt and #chorizo for breakfast! #Occupy",1,stereotype,politician
377,@IvankaTrump BRAVE WOMAN! Can only imagine #Merkel audience. brutal bitches. #IHaveABrain #WeGotThis (((hugs))),1,dominance,politician
380,"#merkel go to hell, ugly bitch",1,sexual_harassment,politician
381,#Germany may be world champs but #AngelaMerkel is still an ugly bitch!,1,discredit,politician
382,"#AngelaMerkel is getting so fat, she is getting fat like a hamburger! It's a development within few days of her becoming the ex-Chancellor in the legal sense, now! I only have a fat belly because of lack of exercise but Angela's entire figure is fat! &amp; She's getting fatter! Would",1,stereotype,politician
383,#angelamerkel should do us all a favour and wear a veil herself - ugly ass bitch!,1,discredit,politician
